car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date
car_107,2014,176500,1.0,Benzin + Gas (TNG),Manuelni 5 brzina,4750,Niš,2026-07-15
car_108,2019,55080,1.2,Benzin,Manuelni 5 brzina,7450,Kraljevo,2026-07-15
car_109,2020,95020,1.2,Benzin,Manuelni 5 brzina,8590,Beograd,2026-07-15
car_110,2016,138000,1.0,Benzin,Manuelni 5 brzina,5499,Beograd,2026-07-15
car_111,2017,105380,1.2,Benzin,Manuelni 5 brzina,6999,Beograd,2026-07-15
car_112,2018,110552,1.2,Benzin,Manuelni 5 brzina,6999,Niš,2026-07-15
car_113,2021,84000,1.2,Benzin,Manuelni 5 brzina,7499,Novi Sad,2026-07-15
car_114,2021,107719,1.2,Benzin,Manuelni 5 brzina,7999,Beograd,2026-07-15
car_115,2021,59260,1.2,Benzin,Manuelni 5 brzina,8990,Čačak,2026-07-15
car_116,2012,193000,1.1,Benzin,Manuelni 5 brzina,3999,Kragujevac,2026-07-15
car_117,2016,235294,1.6,Dizel,Manuelni 5 brzina,5950,Šabac,2026-07-15
car_118,2011,220000,1.4,Benzin,Manuelni 5 brzina,4500,Aleksinac,2026-07-15
car_119,2003,354202,1.4,Dizel,Manuelni 5 brzina,1350,Leskovac,2026-07-15
car_120,2020,140345,1.5,Dizel,Manuelni 5 brzina,7990,Aranđelovac,2026-07-15
car_121,2021,102836,1.2,Benzin,Manuelni 5 brzina,8550,Jagodina,2026-07-15
car_122,2011,182905,1.4,Dizel,Manuelni 5 brzina,4100,Šabac,2026-07-15
car_123,2008,248326,1.4,Benzin + Metan (CNG),Manuelni 5 brzina,2199,Obrenovac,2026-07-15
car_124,2019,161000,1.6,Dizel,Manuelni 5 brzina,7990,Borča,2026-07-15
car_125,2020,111591,1.2,Benzin,Manuelni 6 brzina,9690,Beograd,2026-07-15
car_126,2021,106538,1.2,Benzin,Manuelni 5 brzina,8790,Beograd,2026-07-15
car_127,2020,73012,1.2,Benzin,Manuelni 5 brzina,8590,Beograd,2026-07-15
car_128,2018,85704,1.2,Benzin,,8800,Beograd,2026-07-15
car_129,2014,160000,1.0,Benzin,Manuelni 5 brzina,3700,Novi Beograd,2026-07-15
car_130,2016,182000,1.6,Dizel,Manuelni 5 brzina,5700,Beograd,2026-07-15
car_131,2021,163730,1.5,Dizel,Manuelni 6 brzina,7900,Kragujevac,2026-07-15
car_132,2014,192931,1.4,Dizel,Manuelni 5 brzina,4550,Kragujevac,2026-07-15
car_133,2022,129979,1.2,Benzin,Manuelni 5 brzina,8400,Beograd,2026-07-15
car_134,2015,174000,1.0,Benzin,Manuelni 5 brzina,5350,Beograd,2026-07-15
car_135,2016,185000,1.6,Dizel,Manuelni 5 brzina,4900,Beograd,2026-07-15
car_136,2020,68000,1.2,Benzin,Manuelni 5 brzina,9500,Novi Beograd,2026-07-15
car_137,2010,194000,1.4,Benzin,Manuelni 5 brzina,3890,Ugrinovci,2026-07-15
car_138,2021,25690,1.2,Benzin,Manuelni 5 brzina,9999,Beograd,2026-07-15
car_139,2019,107616,1.5,Dizel,Manuelni 5 brzina,8950,Jagodina,2026-07-15
car_140,2003,250000,1.4,Dizel,Manuelni 5 brzina,1480,Vranje,2026-07-15
car_141,2021,136000,1.2,Benzin,Manuelni 5 brzina,8150,Subotica,2026-07-15
car_142,2022,70000,1.2,Benzin,Manuelni 5 brzina,9150,Beograd,2026-07-15
car_143,2009,192839,1.4,Benzin,Manuelni 5 brzina,2950,Beograd,2026-07-15
car_144,2010,198287,1.4,Benzin + Gas (TNG),Manuelni 5 brzina,4200,Niš,2026-07-15
car_145,2005,321000,1.4,Dizel,Manuelni 5 brzina,1700,Kruševac,2026-07-15
car_146,2011,215850,1.6,Dizel,Manuelni 5 brzina,4250,Šabac,2026-07-15
car_147,2017,109605,1.2,Benzin,Manuelni 5 brzina,8450,Valjevo,2026-07-15
car_148,2019,116000,1.2,Benzin,Manuelni 5 brzina,5990,Novi Beograd,2026-07-15
car_149,2022,45776,1.2,Benzin,Manuelni 6 brzina,11899,Beograd,2026-07-15
car_150,2017,135000,1.2,Benzin,Manuelni 5 brzina,8500,Žarkovo,2026-07-15
